CRSE_GRADE_OFF,percentile in HS class,ACTMATH,ACTCOMP,YEARS_OF_STUDY_ACT,ALG SCORE,MBSC SCORE,TRIG SCORE,self reported math GPA,placement
B,0.76,26,25,8,540,490,560,3.5,MATH D
A,0.93,26,25,8,440,490,450,3.8,MATH B
A,,29,28,6,750,640,610,4,MATH E
C,0.76,22,22,8,440,470,450,, 
BC,0.88,26,26,5,560,520,540,3.5,MATH D
A,0.95,26,24,8,660,560,610,4, 
AB,,26,23,8,570,690,520,,MATH D
C,,23,23,8,640,690,640,3.3,MATH E
A,0.64,25,26,0,540,570,490,, 
B,0.78,20,22,6,510,540,320,3.5,MATH C
B,0.87,24,25,8,, , ,4, 
BC,0.87,25,26,8,470,540,520,3.8,MATH C
A,0.99,26,30,8,, , ,4, 
BC,,27,28,5,640,600,670,,MATH E
AB,0.96,23,23,0,480,600,470,,MATH C
C,0.71,24,24,8,520,600,590,3.3,MATH D
AB,0.78,25,24,4,560,760,610,3,MATH D
A,,24,25,4,640,690,610,4, 
C,0.73,25,24,6,490,540,360,3.8, 
C,0.68,22,23,6,, , ,, 
AB,0.96,24,28,6,600,760,470,4,MATH D
A,,22,21,6,510,510,560,3.3,MATH C
F,0.73,24,22,7,570,640,560,3.8,MATH D
A,0.95,26,24,7,570,520,560,3.8,MATH E
AB,0.84,21,21,8,510,450,390,4,MATH C
BC,0.62,24,26,6,560,520,610,3, 
F,,26,23,8,450,570,560,3.4,MATH C
F,0.74,19,23,6,440,470,470,2.5,MATH B
BC,0.74,19,23,6,440,470,470,2.5,MATH B
A,,27,27,6,660,600,500,4, 
A,0.9,26,26,5,640,690,590,3.4,MATH E
AB,0.85,26,28,8,510,570,540,4,MATH D
F,,20,27,0,370,470,420,, 
D,,20,27,0,370,470,420,, 
D,,20,27,0,370,470,420,, 
A,0.88,26,27,8,440,540,560,3.8,MATH C
B,0.56,22,23,7,510,520,490,3.2,MATH D
AB,0.72,25,25,5,570,650,540,3.7, 
AB,0.83,20,22,6,490,640,520,4,MATH C
A,,28,28,8,480,540,450,3,MATH C
C,,22,22,8,470,420,470,4,MATH B
C,0.85,16,20,8,330,290,360,2,MATH A
B,0.5,23,25,8,480,600,610,3, 
B,,25,25,8,520,490,610,2.5,MATH C
A,0.93,25,25,5,350,570,470,4,MATH B
A,0.99,25,26,8,610,640,540,4,MATH B
C,0.89,25,26,6,470,450,470,3.7, 
B,0.84,24,22,8,640,540,670,3.5, 
A,0.94,27,28,5,640,600,660,4,MATH E
B,0.82,27,24,6,700,640,710,,MATH E
AB,0.93,26,26,8,490,490,420,4,MATH C
BC,0.69,26,26,8,560,600,470,4,MATH D
C,0.95,26,29,8,510,690,450,4,MATH D
AB,0.84,27,27,0,520,630,630,,MATH D
B,0.68,27,24,8,600,520,450,4,MATH D
A,0.98,29,31,8,710,850,660,4,MATH E
B,0.72,27,27,8,530,600,610,3.8,MATH D
A,,26,28,8,680,690,760,3, 
BC,0.7,24,23,8,540,690,560,3.7,MATH D
B,0.86,24,25,8,480,490,470,3.3,MATH C
B,0.73,26,27,6,510,540,520,3.7,MATH D
C,0.92,24,22,5,530,420,390,4,MATH D
B,0.78,22,22,8,490,470,390,3.7,MATH C
A,,23,27,8,480,760,610,4,MATH C
B,,25,25,8,560,540,590,3.8, 
B,0.92,25,27,8,530,570,490,3.8,MATH D
AB,0.95,28,28,8,600,570,710,4,MATH D
AB,0.86,25,24,8,510,570,490,4,MATH D
BC,0.81,24,22,8,480,540,520,4,MATH C
C,,16,23,8,420,320,390,3,MATH A
A,0.95,25,26,8,630,570,560,4,MATH E
BC,0.89,23,22,8,530,570,490,4,MATH D
C,0.76,23,22,6,440,470,490,,MATH B
AB,,26,23,4,560,470,560,3.3, 
A,,32,30,7,680,850,840,4,MATH E
C,0.83,24,21,6,570,420,420,3.6, 
BC,0.79,23,26,8,370,520,490,4,MATH B
B,0.82,24,21,4,520,490,670,4,MATH C
B,0.9,25,23,8,580,690,560,4,MATH D
AB,0.77,24,25,8,600,540,520,3.6,MATH D
BC,0.81,25,25,6,540,690,610,3.3,MATH D
AB,0.83,25,27,8,580,760,640,3.8,MATH D
AB,0.99,33,31,8,700,850,670,4,MATH E
AB,,26,26,8,640,690,640,3.3, 
A,0.92,23,24,8,520,540,470,3.8,MATH D
F,,21,21,6,450,400,420,2.3,MATH B
F,,21,21,6,450,400,420,2.3,MATH B
A,0.99,28,25,8,640,520,610,4,MATH E
D,0.5,19,18,6,480,520,390,2.8,MATH C
F,,17,22,8,390,490,390,4, 
B,0.89,24,24,8,450,540,610,4,MATH C
B,0.81,26,24,5,520,640,590,3.3,MATH D
B,0.91,22,22,6,370,380,420,3.5,MATH B
AB,0.75,26,27,5,580,760,610,3.5,MATH D
D,0.48,24,24,8,470,600,490,3,MATH C
A,0.94,26,24,7,580,640,610,3.8,MATH D
A,0.75,26,22,8,, , ,3.8, 
B,0.91,28,28,8,680,690,670,,MATH E
A,0.7,26,26,6,510,640,610,3.5, 
A,0.87,24,24,6,580,470,470,3.4,MATH D
A,,29,31,8,600,600,710,4,MATH D
AB,0.85,25,28,6,570,540,520,3, 
AB,0.8,24,25,8,510,640,470,3.7,MATH D
AB,0.87,25,25,8,530,600,420,4,MATH D
B,0.86,22,26,4,490,650,490,3.3,MATH C
D,0.72,21,25,8,420,380,470,3, 
A,0.38,26,26,7,, , ,3.6,MATH E
AB,0.68,24,27,8,560,520,590,,MATH D
AB,0.9,26,24,5,520,450,520,4,MATH C
B,0.88,24,27,6,500,550,540,4,MATH B
B,,25,24,0,580,570,560,3.4, 
BC,0.91,24,23,8,540,490,560,3.7,MATH D
D,,24,22,6,530,520,470,2.8,MATH D
B,,23,24,8,560,600,560,3,MATH D
B,0.92,24,26,8,480,570,470,3.7, 
AB,,21,22,8,390,420,420,,MATH B
B,0.78,24,24,8,510,470,490,3.3,MATH C
BC,0.73,23,26,5,450,470,520,4, 
AB,0.67,24,25,5,440,420,390,3.6, 
D,,24,25,7,390,420,470,3,MATH B
A,0.84,26,23,5,530,520,520,4,MATH D
D,,16,20,0,350,290,390,3.3, 
A,0.99,32,31,8,850,850,640,4,MATH E
BC,,28,27,8,610,850,610,4, 
B,,26,25,8,580,540,610,3,MATH D
BC,0.72,25,25,6,410,490,360,4,MATH B
BC,0.78,21,21,8,, , ,2.5, 
B,0.82,22,21,8,, , ,3.3, 
A,0.99,25,27,8,630,640,670,4,MATH E
B,0.87,23,28,5,530,600,520,4,MATH D
AB,0.69,25,27,8,570,540,420,3.8,MATH D
A,0.9,28,29,8,610,690,710,3.5,MATH E
D,0.83,21,21,5,450,450,360,4,MATH B
BC,0.83,21,21,5,450,450,360,4,MATH B
B,0.77,25,21,8,450,520,420,3.7,MATH C
BC,,23,24,8,510,640,520,3.4,MATH D
C,0.83,23,25,5,580,540,490,4,MATH D
A,0.96,24,26,5,530,470,610,4,MATH D
BC,0.78,23,22,8,390,490,320,3.3, 
A,,28,24,5,660,760,760,4,MATH E
B,,24,26,6,420,450,490,4, 
A,,28,29,5,680,670,820,4,MATH E
C,0.74,22,22,8,520,520,520,3.4,MATH D
B,0.94,25,27,8,470,540,420,4,MATH C
F,,24,21,8,440,570,520,3.2,MATH C
C,0.75,23,25,6,470,420,450,3.4,MATH B
A,0.93,28,26,8,660,690,640,4,MATH E
B,0.88,23,24,8,630,570,670,3.3,MATH E
A,0.89,25,24,6,480,600,560,, 
A,0.78,28,25,7,570,640,560,3.8,MATH D
BC,0.86,24,24,8,480,570,540,4,MATH C
A,0.95,27,28,8,530,540,560,4,MATH D
AB,,24,23,8,480,540,590,4,MATH C
D,0.72,20,23,6,420,490,360,, 
AB,0.85,26,29,5,640,640,560,4,MATH E
BC,,25,25,6,480,520,670,3.3,MATH C
D,,21,24,6,300,350,420,3,MATH B
B,0.86,23,21,6,480,450,450,3.8,MATH C
A,0.82,23,22,8,490,600,450,4,MATH C
B,,26,26,8,530,600,670,4, 
A,0.87,19,23,8,530,400,540,3.3,MATH B
A,0.73,28,23,7,560,600,590,3.5,MATH D
AB,,19,22,6,420,350,520,3,MATH C
BC,0.7,25,22,6,450,570,480,3.7,MATH C
A,0.77,28,32,8,700,600,540,3.8,MATH D
A,0.96,25,30,8,610,600,590,4,MATH E
C,0.43,27,24,0,700,640,520,2.8,MATH D
A,0.87,29,25,8,610,760,610,3.8,MATH E
AB,0.98,29,27,8,660,850,640,4,MATH E
BC,0.68,26,26,8,470,520,590,4,MATH C
AB,0.85,23,23,8,630,600,640,4,MATH E
AB,,25,24,4,480,540,450,4,MATH C
AB,0.64,30,27,8,630,690,670,2.8,MATH E
C,0.83,27,25,8,490,600,470,3.6,MATH C
A,0.86,30,30,8,630,630,600,3.8,MATH E
A,0.9,24,25,8,520,570,490,4,MATH D
AB,0.93,26,25,8,630,570,610,4,MATH E
B,0.83,28,25,6,700,690,590,4,MATH E
B,0.88,25,24,8,560,690,640,4, 
BC,,28,25,8,540,690,560,3.5,MATH D
C,0.81,26,28,8,470,470,670,3,MATH B
B,0.77,18,20,8,390,350,560,3, 
BC,0.86,30,28,8,600,690,610,4,MATH D
AB,0.99,26,26,8,560,600,610,4,MATH D
D,0.76,24,26,8,480,570,490,3.3,MATH C
C,0.76,24,26,8,480,570,490,3.3,MATH C
B,0.94,23,23,8,630,570,480,4,MATH D
C,0.72,20,21,6,520,650,440,4,MATH C
AB,0.78,30,29,8,660,540,590,,MATH B
A,0.85,24,23,8,560,490,390,3.8,MATH D
C,0.68,24,25,6,490,600,500,2,MATH C
B,0.89,29,24,8,680,690,760,4,MATH E
B,0.55,34,31,6,850,850,850,3.6,MATH E
A,0.92,30,30,6,820,850,760,4,MATH E
B,0.75,21,22,6,420,380,390,2.7,MATH B
AB,,26,24,5,580,760,560,3.2,MATH D
AB,0.82,27,25,6,480,540,520,4,MATH C
C,0.86,26,23,8,470,470,470,4,MATH B
C,0.74,24,22,6,510,490,470,3.3,MATH C
AB,0.8,24,20,5,570,670,450,3.8,MATH D
BC,0.88,24,22,6,450,400,190,4,MATH B
B,0.72,24,25,5,540,540,520,3.8,MATH D
A,,25,24,8,600,540,490,4,MATH D
A,0.84,24,23,6,420,470,470,3.3,MATH B
BC,0.63,30,31,8,540,630,570,3.5,MATH D
A,0.77,28,26,6,510,640,670,3.7,MATH D
B,0.88,29,26,8,660,600,640,4,MATH E
AB,0.91,28,24,7,580,690,520,3.7,MATH D
A,,30,28,6,, , ,3.3, 
C,0.76,18,21,6,480,600,450,3.7, 
F,0.46,16,19,6,370,290,320,3,MATH A
A,0.83,28,23,6,580,760,520,4,MATH D
A,0.75,27,24,6,610,760,540,4, 
B,0.9,24,22,6,440,570,540,4,MATH C
AB,0.89,27,27,6,470,640,540,4,MATH C
B,0.8,25,23,8,350,420,420,3,MATH B
B,0.91,25,23,8,520,540,590,4,MATH D
BC,0.69,27,24,8,630,670,500,3.8,MATH D
F,0.61,25,25,6,520,640,450,,MATH D
A,,33,31,8,,,,4,MATH B
D,,18,16,6,, , ,1, 
AB,0.95,26,26,6,560,600,610,4,MATH D
C,0.6,24,22,5,530,540,590,3,MATH D
C,0.77,25,26,7,490,760,540,3, 
A,0.91,26,26,5,560,570,610,3.8, 
A,0.81,25,22,8,420,490,490,4, 
A,0.99,26,21,8,570,570,590,4, 
A,0.84,27,28,8,580,650,580,3.8,MATH D
AB,0.86,26,27,8,510,520,360,2.8, 
BC,0.76,24,23,6,510,540,590,3.7,MATH D
A,,28,27,8,540,640,640,4,MATH D
AB,0.97,27,28,6,640,760,590,3.8,MATH E
BC,,26,27,0,530,520,490,4, 
AB,0.75,29,28,8,600,690,590,3.3,MATH D
C,,22,21,0,390,570,420,,MATH B
C,0.8,24,22,8,480,540,450,4, 
BC,0.56,23,20,5,460,570,420,3.3,MATH B
C,0.72,20,22,6,480,490,520,3.3,MATH B
A,,25,24,5,, , ,3.5, 
D,0.88,24,26,5,440,470,560,3.3,MATH B
A,0.88,26,25,7,540,540,560,3.7,MATH D
B,,24,21,8,510,600,560,2.8,MATH B
C,,18,22,6,370,350,190,3,MATH C
B,0.79,24,24,6,610,690,670,3.7, 
B,0.88,23,20,7,350,450,450,4,MATH B
BC,0.89,20,21,8,480,570,520,4,MATH C
A,0.76,26,25,8,570,570,590,3, 
B,0.84,26,20,8,570,540,560,3.8, 
A,0.97,26,22,0,480,600,520,3,MATH C
D,0.88,25,25,8,520,490,490,3.8,MATH C
AB,0.88,25,25,8,520,490,490,3.8,MATH C
A,0.9,24,29,8,640,690,610,3.5,MATH E
A,0.84,23,27,8,450,570,450,4, 
A,0.74,24,23,8,520,490,540,4,MATH C
A,0.95,30,26,8,660,760,590,4,MATH E
BC,0.41,24,21,8,430,510,440,3.4,MATH B
F,0.52,30,29,8,640,640,610,3.6, 
B,,20,20,8,, , ,3, 
A,0.98,32,26,0,570,690,670,4, 
F,,19,23,8,, , ,2.7, 
A,,23,22,6,560,540,470,3,MATH D
A,0.94,30,26,8,750,850,640,4, 
A,0.92,29,25,6,530,640,540,3.8,MATH D
B,0.73,25,22,7,490,570,470,3, 
A,0.9,31,25,6,560,640,560,4,MATH D
B,0.92,22,23,8,570,690,590,4, 
C,0.9,18,23,6,250,380,400,3.5,MATH A
A,,28,32,6,710,680,600,4,MATH E
B,,25,26,0,510,490,470,, 
C,0.91,26,23,7,570,690,610,4,MATH D
AB,0.85,26,24,7,520,470,450,3.5,MATH C
A,,29,24,7,630,690,590,4, 
BC,0.67,26,27,6,600,540,670,3.8,MATH D
B,,28,26,6,700,690,710,3.6,MATH E
B,0.88,26,23,8,680,690,560,4,MATH E
B,,28,30,8,570,760,590,3,MATH D
BC,0.86,25,27,8,560,600,590,4,MATH D
D,,18,21,0,410,350,420,2.7,MATH A
BC,0.85,18,22,8,490,730,540,3.7, 
C,0.51,19,21,8,480,470,450,3, 
A,0.72,24,23,8,490,540,520,, 
BC,0.77,29,29,8,600,600,590,3.7,MATH D
A,0.88,26,20,8,490,540,560,3.8,MATH C
A,,28,25,8,680,640,760,4,MATH E
B,,23,24,8,420,470,560,4,MATH B
AB,0.99,24,24,6,520,640,490,4,MATH D
B,0.95,20,23,6,420,400,470,3,MATH B
A,0.91,22,23,8,410,450,320,3.6,MATH B
AB,0.96,28,25,4,680,690,840,4,MATH E
B,,30,24,8,,,,3.6, 
C,,25,21,6,480,570,590,4,MATH C
B,,24,22,8,480,600,450,3.7,MATH C
C,0.85,24,27,5,500,520,550,4,MATH C
C,0.78,24,24,8,490,600,520,3.8, 
B,0.83,26,22,8,540,490,540,3.8, 
A,0.92,24,22,8,470,570,520,4,MATH C
BC,0.78,26,25,7,440,470,490,3.6,MATH B
BC,0.68,28,30,6,520,640,490,2.8,MATH D
B,0.76,24,21,7,530,540,670,3.5,MATH D
BC,0.78,22,21,8,330,400,540,3.3,MATH B
A,0.81,24,20,8,480,520,470,4,MATH C
C,0.86,22,21,5,510,600,440,3.5,MATH D
A,0.89,26,28,6,570,570,560,4, 
BC,0.87,21,25,5,560,730,440,3, 
B,,22,23,8,370,470,390,2.4,MATH B
D,0.76,26,23,5,490,540,540,3.7,MATH C
B,0.84,28,23,6,660,690,610,4, 
BC,0.77,24,23,5,560,570,560,3.3,MATH D
A,0.95,26,25,6,520,570,540,4,MATH D
A,0.69,27,28,8,660,640,560,3.8,MATH E
AB,0.77,25,22,8,540,650,520,3.8,MATH D
BC,0.85,24,24,8,410,490,470,3.3,MATH B
C,0.8,26,25,5,470,470,390,3.8,MATH B
B,0.75,26,28,8,720,690,540,4, 
B,0.85,23,22,8,510,420,450,3.5,MATH C
B,0.92,28,29,8,600,640,560,3.8,MATH D
B,0.88,27,28,0,610,600,490,3.3,MATH D
C,,23,25,4,, , ,3, 
A,,28,24,6,570,540,640,,MATH D
B,0.7,26,26,7,450,540,590,3.8,MATH C
BC,0.81,21,20,6,420,450,470,3.5, 
B,,30,29,8,600,600,670,3.4,MATH D
C,,19,21,6,, , ,3.3,MATH C
A,0.79,22,19,8,630,600,490,4, 
C,0.84,22,21,6,440,420,640,3.7,MATH B
AB,0.91,26,27,8,530,490,610,3.8,MATH D
A,0.88,26,27,6,530,730,620,3.3,MATH D
BC,0.83,25,24,0,560,570,520,3.7,MATH D
BC,0.8,26,25,8,570,470,590,,MATH D
D,0.82,22,25,6,420,420,360,4,MATH B
A,0.93,24,24,8,510,450,560,4, 
B,0.84,24,22,5,480,520,450,4,MATH C
A,,23,24,0,630,600,610,,MATH E
A,0.95,30,25,5,610,570,590,4, 
B,0.93,23,22,8,470,600,500,3.5,MATH C
B,0.8,23,24,6,450,450,450,4,MATH B
B,0.82,28,29,8,640,640,640,4,MATH E
A,0.9,28,26,8,640,690,610,4,MATH E
A,0.93,25,23,6,540,490,520,3.8,MATH D
D,0.51,22,18,6,540,500,400,3,MATH D
B,0.51,22,18,6,540,500,400,3,MATH D
B,0.81,31,30,8,680,760,760,4,MATH E
A,0.99,26,24,0,710,600,550,4,MATH D
A,0.86,28,26,8,540,760,710,4,MATH D
B,,26,26,3,440,500,480,4,MATH B
B,0.88,25,25,5,530,450,560,4,MATH D
A,0.69,25,24,8,490,520,390,3.3,MATH C
A,,27,28,8,, , ,4, 
B,0.81,22,23,4,450,520,540,3.7, 
B,0.7,26,22,8,570,570,560,3,MATH D
C,0.7,26,25,8,530,540,520,3, 
AB,0.51,23,20,7,580,490,490,3,MATH D
AB,0.99,25,24,6,470,540,590,4,MATH C
AB,0.92,28,29,8,640,690,560,4,MATH E
B,0.9,19,24,6,570,520,490,3,MATH C
B,0.78,24,26,0,440,400,490,4,MATH B
B,0.9,23,24,6,540,600,490,4,MATH D
AB,0.71,26,24,5,560,600,640,3.3,MATH D
C,0.44,18,22,8,350,400,320,,MATH B
AB,0.92,28,26,4,660,690,710,4,MATH E
B,0.84,30,28,5,610,690,540,4,MATH D
C,0.9,22,24,5,470,600,490,3.7,MATH C
A,0.75,24,24,7,560,540,590,3, 
C,,27,25,4,500,570,480,3.5,MATH C
BC,0.94,25,23,8,630,600,520,4,MATH D
C,0.8,26,20,8,510,540,450,4,MATH D
A,0.78,28,23,6,610,640,540,4,MATH D
A,0.91,26,26,8,520,640,520,4,MATH D
BC,0.69,27,27,7,480,600,490,3.2, 
C,0.83,22,23,6,410,400,450,4, 
AB,0.73,27,21,6,680,690,590,,MATH E
B,,28,31,8,610,690,640,,MATH E
C,0.89,26,24,7,520,600,670,4,MATH D
C,0.74,19,24,5,370,470,420,3, 
BC,0.8,26,24,6,440,470,470,3.8,MATH B
D,0.85,24,23,6,440,520,520,4,MATH C
B,0.85,24,23,6,440,520,520,4,MATH C
A,0.91,30,31,8,720,640,760,4,MATH E
BC,0.65,27,29,6,560,520,540,, 
BC,0.84,23,23,8,420,520,360,4, 
BC,0.74,25,23,8,510,540,520,3, 
AB,0.7,26,25,8,520,540,590,3.7, 
AB,0.78,27,25,7,470,570,520,3.5, 
BC,0.8,26,28,5,440,570,450,3.7,MATH C
C,0.81,22,22,6,390,420,490,2.7, 
B,0.88,21,25,8,520,490,470,4, 
A,,32,27,8,720,850,840,3.8, 
BC,0.71,23,26,8,370,450,390,3.3,MATH B
A,0.92,24,24,5,580,760,610,4,MATH D
C,0.75,25,23,8,470,470,520,3.5,MATH B
C,0.81,23,22,5,420,490,420,,MATH B
A,0.91,28,27,8,610,690,710,4,MATH E
AB,0.81,26,25,8,,,,4,MATH B
D,,19,18,6,, , ,3,MATH C
B,,19,18,6,, , ,3,MATH C
A,,27,27,8,530,540,560,3.3, 
A,0.86,30,28,6,570,570,490,3.8,MATH D
AB,0.8,24,23,6,440,570,420,4,MATH C
AB,0.82,24,23,6,520,470,520,4,MATH C
A,,24,22,6,750,760,670,3.8,MATH E
B,0.66,25,22,8,, , ,3, 
AB,0.89,27,21,5,530,570,540,4,MATH D
B,,27,24,8,610,760,640,4,MATH E
AB,0.86,30,29,8,720,690,590,3.7,MATH E
BC,,26,25,8,580,520,670,3,MATH D
BC,0.69,26,28,6,410,420,360,3,MATH B
AB,,24,23,8,510,570,540,3,MATH D
B,0.8,23,24,6,370,380,470,3.7,MATH B
BC,0.68,26,28,6,560,640,670,3.8,MATH D
C,0.87,24,29,8,450,570,490,3.8,MATH C
C,,25,26,4,560,760,590,4,MATH D
A,0.99,25,27,8,580,600,590,4, 
B,0.81,24,24,5,530,640,520,3,MATH D
D,0.79,26,22,6,600,690,470,3.5,MATH D
B,0.79,26,22,6,600,690,470,3.5,MATH D
B,0.76,22,20,5,560,470,420,3, 
C,0.72,26,28,8,420,540,490,3.3,MATH B
A,0.97,27,28,4,530,570,640,4,MATH D
AB,0.7,23,24,6,450,540,470,3.8,MATH C
C,0.85,24,24,8,480,570,520,3.3,MATH C
C,0.87,25,23,8,570,470,450,4,MATH D
B,0.88,26,28,8,450,640,540,4,MATH C
B,,23,23,6,480,600,580,4,MATH C
A,0.85,25,24,7,510,640,520,4,MATH D
BC,0.75,24,23,8,580,720,630,3.3,MATH D
A,0.91,24,22,7,520,640,590,4,MATH D
B,0.84,29,25,5,560,570,520,,MATH D
A,,28,26,8,630,600,590,3.8, 
C,,20,21,6,480,490,470,,MATH B
AB,0.92,28,23,8,610,640,640,4,MATH E
C,0.9,21,21,8,420,380,450,4, 
B,,24,22,6,510,640,520,4, 
A,0.78,28,25,5,630,760,590,3.8,MATH E
C,0.7,25,23,6,, , ,4, 
AB,,27,22,8,580,690,610,4,MATH D
AB,0.85,26,28,8,510,690,540,3.5, 
A,,24,26,8,480,600,500,3,MATH C
B,0.9,23,23,8,440,600,470,,MATH C
B,0.75,23,21,7,390,450,420,4, 
F,0.7,18,20,5,350,380,420,3.3,MATH A
C,0.7,18,20,5,350,380,420,3.3,MATH A
A,0.99,28,28,5,720,640,610,4,MATH E
BC,,28,23,5,680,640,640,3.8,MATH E
A,0.87,23,22,8,490,490,450,4, 
A,0.98,26,26,8,700,690,610,4,MATH E
B,0.81,24,19,8,520,540,420,3,MATH D
AB,0.94,30,26,8,680,690,640,4,MATH E
C,0.54,22,19,7,480,490,270,3.5, 
BC,,18,20,6,530,570,610,3,MATH C
B,0.78,25,27,8,540,490,490,3.7,MATH D
AB,0.91,22,22,8,480,540,520,4,MATH C
AB,0.92,28,28,6,530,640,520,3.7, 
A,0.92,25,22,8,520,690,520,4,MATH D
D,0.74,30,30,8,720,760,670,3.8,MATH E
BC,0.68,25,23,8,520,570,470,3.3,MATH D
F,0.86,26,27,5,580,600,560,3.7,MATH D
B,0.78,26,25,5,350,540,470,2.7,MATH B
BC,0.86,20,25,8,370,520,450,3.3, 
C,,23,26,8,560,520,540,4,MATH D
D,0.58,18,24,8,470,570,590,2.5,MATH B
D,0.58,18,24,8,470,570,590,2.5,MATH B
B,0.58,18,24,8,470,570,590,2.5,MATH B
C,0.81,24,22,5,570,600,610,4,MATH D
C,,22,23,8,410,470,470,3.7,MATH B
C,0.68,26,24,8,380,460,430,3.8,MATH B
B,0.6,25,24,6,, , ,2, 
AB,0.86,25,23,0,520,690,560,4, 
B,0.75,26,22,8,510,450,490,4,MATH C
B,0.91,25,22,6,540,570,540,3.6,MATH D
B,0.73,25,21,6,470,520,340,3.3,MATH C
B,0.48,23,20,8,560,520,360,3.8, 
A,0.86,26,24,5,600,590,470,4, 
AB,0.96,26,27,6,540,640,520,4,MATH D
B,0.9,24,25,8,540,600,540,4,MATH D
B,0.94,26,27,6,510,540,590,4,MATH D
C,,17,21,8,440,400,470,3.7,MATH B
C,0.9,23,21,8,470,540,320,3.7,MATH C
B,0.92,27,24,6,, , ,4, 
BC,0.75,33,33,8,770,720,700,4, 
C,0.45,23,22,5,430,490,320,,MATH B
A,0.94,27,24,8,630,710,580,3.8,MATH E
A,0.91,30,29,8,750,690,710,4,MATH E
A,0.98,25,23,8,530,640,560,4,MATH D
C,0.82,25,30,6,420,490,360,3,MATH B
C,0.85,19,23,8,520,540,450,3.3,MATH C
C,0.69,21,24,8,390,600,470,3,MATH B
A,,28,29,6,630,760,540,4,MATH D
B,0.69,26,23,8,540,540,490,,MATH D
A,,30,28,8,580,640,640,4, 
D,0.86,29,26,6,490,490,490,3.5,MATH C
B,0.9,25,25,8,660,690,540,3.3,MATH D
BC,0.94,32,27,8,750,690,640,4,MATH E
A,0.99,27,26,6,610,640,520,4, 
A,0.99,34,31,8,720,850,850,4,MATH E
A,0.85,30,28,5,570,690,710,4,MATH D
C,0.84,21,22,8,390,450,560,3.5,MATH B
C,0.83,19,22,5,530,470,420,3.7, 
A,0.99,27,27,8,650,790,640,4, 
C,0.79,22,24,8,490,450,450,3.5,MATH C
C,0.73,26,27,7,540,590,560,,MATH D
B,,22,23,8,350,420,420,3, 
B,0.82,24,25,7,470,520,520,4,MATH C
BC,0.7,21,19,8,370,540,470,2.8,MATH B
B,0.82,24,23,7,490,490,490,3.5,MATH C
A,,27,24,8,600,600,590,4,MATH D
AB,0.8,29,26,6,580,570,560,3.3,MATH D
C,0.93,25,27,6,520,540,420,3.7,MATH D
B,0.47,21,20,8,370,260,360,3, 
B,0.9,26,28,8,570,540,560,4, 
BC,0.81,27,27,8,600,760,760,4, 
B,0.99,25,23,8,530,600,640,4,MATH D
B,0.92,26,25,6,580,640,450,3.5,MATH D
BC,0.95,24,22,6,500,660,510,4,MATH C
BC,,24,28,6,560,760,540,2.8,MATH D
AB,,29,28,6,630,760,670,4,MATH E
D,0.84,24,22,8,640,640,490,3.7,MATH D
B,0.89,23,27,8,530,570,540,3.8,MATH D
C,0.79,25,24,8,440,480,450,,MATH B
A,0.99,27,27,8,680,760,710,4,MATH E
A,0.89,25,26,8,580,540,560,3.3,MATH D
BC,0.75,23,22,8,410,490,390,3, 
A,0.82,28,23,8,510,600,490,, 
F,0.75,25,24,6,530,570,470,3.5,MATH D
A,0.63,30,31,8,600,560,610,, 
AB,0.98,25,26,7,680,640,590,4, 
B,0.85,27,22,4,450,520,520,2.7,MATH C
A,0.83,27,24,8,490,490,520,4,MATH C
BC,,24,22,8,530,540,470,4,MATH D
BC,0.66,25,27,8,530,640,520,4,MATH D
D,,26,25,4,510,570,540,3.5,MATH D
AB,0.83,30,27,8,630,570,590,4,MATH E
A,0.95,28,28,6,630,690,640,4,MATH E
C,0.68,28,26,5,520,690,520,3.7,MATH D
C,,17,18,5,380,410,400,2.5,MATH B
F,0.63,23,22,6,560,600,470,3.3,MATH D
C,0.63,23,22,6,560,600,470,3.3,MATH D
A,0.74,27,32,8,510,490,390,4,MATH C
B,0.9,26,25,8,510,540,560,3.3,MATH D
C,0.85,21,23,6,450,420,360,4,MATH B
BC,0.76,20,16,5,420,450,360,, 
C,0.69,19,15,7,530,520,470,4,MATH C
AB,0.84,25,23,6,540,520,470,4,MATH D
AB,0.9,24,24,6,560,690,520,4, 
A,0.89,27,24,6,580,570,560,3.8, 
F,,26,23,7,560,520,540,3.5, 
C,,26,23,7,560,520,540,3.5, 
D,0.7,20,25,5,270,320,320,3.3,MATH A
BC,0.7,20,25,5,270,320,320,3.3,MATH A
AB,0.97,27,24,8,560,600,560,4,MATH D
C,0.64,16,19,8,450,380,360,3,MATH A
C,0.96,25,22,5,480,570,470,3.8,MATH C
A,0.89,27,30,5,610,640,590,4,MATH E
C,0.88,24,26,7,520,570,540,3.3,MATH D
AB,0.97,24,27,6,520,540,470,4,MATH D
BC,,26,22,8,450,480,480,3.3,MATH B
A,0.98,26,25,5,580,600,560,4, 
B,0.92,29,26,8,660,600,670,4,MATH E
BC,0.65,25,27,8,370,490,470,,MATH B
A,0.95,25,26,8,530,490,540,4,MATH D
BC,,25,23,6,600,640,670,3, 
B,,25,25,7,580,570,590,3.5, 
B,,26,22,5,580,690,610,4,MATH D
A,0.91,26,24,8,680,640,670,4, 
BC,0.86,28,24,8,750,640,670,4, 
AB,0.94,24,24,6,580,640,470,4,MATH D
