CRSE_GRADE_OFF,percentile in HS class,ACTMATH,ACTCOMP,YEARS_OF_STUDY_ACT,ALG SCORE,MBSC SCORE,TRIG SCORE,self reported math GPA,placement
B,,28,24,6,680,600,550,3,MATH D
A,0.69,28,25,8,630,850,520,3.4,MATH D
B,0.92,24,25,8,410,560,490,3.8, 
F,0.5,21,22,6,420,570,500,3.8,MATH B
AB,,30,28,7,660,720,630,4,MATH E
B,0.68,25,27,8,,,,3.8,MATH B
AB,,30,27,0,730,800,660,,MATH E
AB,,25,26,8,440,500,450,3.3,MATH B
AB,,29,26,8,540,720,500,4,MATH D
C,,27,29,7,, , ,3,MATH B
D,,22,21,0,290,430,340,,MATH B
F,0.67,20,22,6,390,460,300,3.7,MATH B
B,0.77,25,23,6,500,550,550,4,MATH C
AB,0.8,20,24,6,430,650,340,4, 
B,0.76,28,27,8,570,520,600,3.8,MATH D
B,0.83,23,24,6,, , ,3.8,MATH B
A,,28,31,8,730,850,690,4,MATH E
A,,27,29,8,580,610,650,4,MATH D
C,0.58,28,24,8,640,630,660,,MATH E
C,0.69,22,22,8,520,530,410,3.5,MATH D
A,0.98,31,31,8,630,680,660,4,MATH E
A,,27,29,5,520,720,480,4,MATH D
A,0.79,24,24,7,610,610,500,4,MATH D
AB,,26,22,0,440,510,350,3.3,MATH B
BC,,24,24,8,510,510,520,,MATH C
AB,,26,25,8,600,640,520,4, 
B,0.85,25,26,8,560,680,390,4,MATH D
C,,20,24,6,450,530,460,3.3,MATH B
B,0.92,28,27,8,700,800,690,3.8,MATH E
C,0.85,22,23,8,340,420,410,3,MATH B
B,,26,26,6,510,490,550,3.7,MATH C
A,0.97,31,30,8,850,720,850,4,MATH E
A,0.78,27,26,0,490,580,480,3.3,MATH C
B,0.97,20,25,6,470,580,460,4,MATH C
BC,0.87,25,23,8,560,640,520,4,MATH D
AB,0.79,25,22,6,490,470,410,3.3,MATH C
B,0.97,27,24,8,560,560,570,4, 
A,0.99,28,27,8,760,850,650,4,MATH E
B,0.76,25,24,8,600,560,620,3.3,MATH D
AB,,24,22,6,470,440,430,3.7,MATH B
AB,0.61,26,25,5,480,610,510,3.5,MATH C
B,0.85,32,25,8,610,680,590,,MATH E
F,0.75,23,21,8,410,490,430,3.7,MATH B
AB,0.87,26,30,6,610,640,620,3.5,MATH E
AB,0.87,21,19,6,510,470,430,4, 
B,0.89,25,23,5,480,580,430,4, 
B,0.93,24,25,5,730,580,570,4,MATH E
A,0.93,26,27,6,640,610,660,4,MATH E
A,,26,25,8,520,580,410,4, 
B,0.9,27,27,6,570,800,620,4,MATH D
AB,,25,22,8,540,730,540,3.3,MATH D
B,0.73,17,24,8,470,440,430,3,MATH B
BC,0.82,21,22,7,440,490,410,3.7,MATH B
A,,27,29,8,540,640,420,4,MATH D
D,0.83,20,23,8,410,420,500,3,MATH B
A,0.93,30,26,8,630,680,820,4,MATH E
AB,0.87,25,25,5,730,720,550,3.5,MATH D
BC,0.79,24,26,8,470,510,430,3.8,MATH B
AB,,23,23,5,540,580,410,3,MATH D
BC,0.96,26,25,6,640,680,660,4,MATH E
A,0.95,26,25,5,600,640,520,4,MATH D
C,0.76,24,24,8,380,580,480,3.3, 
C,,25,24,8,450,520,520,3.2,MATH C
B,,26,26,4,520,680,660,4,MATH D
AB,0.75,27,23,6,660,600,660,,MATH E
F,,24,23,6,470,640,470,3.3,MATH C
BC,0.76,26,27,5,640,670,550,4,MATH D
BC,0.72,21,22,6,450,520,400,4,MATH C
F,,19,25,6,310,500,340,2,MATH B
B,0.82,22,22,5,630,570,600,4,MATH E
B,0.67,22,22,6,440,410,450,3.8, 
